emp_id,Name,Birthdate,Age,Gender,Dept_ID,mng_id,Salary,PerfScore,EmpSatisfaction,EngagementSurvey
10304,Dietrich Jenna,5/14/1987,34,F,6,10272,101918,5,7,3.88
10142,Gill Whitney,7/10/1971,50,F,6,10272,102537,2,4,3.4
10109,Guilianno Mike,2/9/1969,52,M,6,10272,104728,1,7,4.11
10167,Hitchcock Alfred,9/14/1988,33,M,6,10272,102042,3,6,4.3
10165,Kreuger Freddy,2/24/1969,52,M,6,10272,107473,4,0,4.77
10103,Leruth Giovanni,12/27/1988,33,M,6,10272,105606,4,5,4.52
10295,Saar-Beckles Melinda,6/6/1968,53,F,4,10010,116638,2,6,2.9
10233,Sahoo Adil,4/26/1986,35,M,4,10010,106764,4,4,5
10266,Stoica Rick,3/14/1985,36,M,4,10010,105356,3,0,4.7
10022,Volk Colleen,6/3/1986,35,F,4,10010,117009,5,6,4.2
10157,Smith Sade,2/2/1965,56,F,4,10010,107362,2,7,3
10190,Walker Roger,2/10/1976,45,M,4,10010,115893,5,10,5
10204,Wilkes Annie,7/30/1983,38,F,4,10010,102501,4,8,2.3
10264,Williams Jacquelyn,10/2/1969,52,F,4,10010,100048,4,7,2.1
10065,Rossetti Bruno,3/18/1987,34,M,5,10131,119395,3,0,4.4
10278,StanfordBarbara M,8/25/1982,39,F,5,10131,104836,2,9,4
10014,Veera Abdellah,1/31/1987,34,M,5,10131,118424,3,1,3.13
10135,Woodson Jason,5/11/1985,36,M,5,10131,105839,3,1,1.56
10231,Khemmich Bartholemew,11/27/1979,42,M,6,10272,117835,2,8,1.2
10202,McKinzie Jac,7/1/1984,37,M,6,10272,104700,3,5,5
10042,Nguyen Dheepa,3/31/1989,32,F,6,10272,107569,1,8,4.76
10121,Onque Jasmine,5/11/1990,31,F,6,10272,108765,4,2,3.66
10124,Potts Xana,8/29/1988,33,F,6,10272,113172,3,5,2
10307,Stansfield Norman,5/9/1974,47,M,6,10272,106906,1,1,5
10161,Terry Sharlene,5/7/1965,56,F,6,10272,119129,2,8,5
10013,Torrence Jack,1/15/1968,53,M,6,10272,106889,1,8,4.3
10260,Sadki Nore,12/21/1974,47,M,5,10131,114183,5,1,4.7
10095,Sloan Constance,11/25/1987,34,F,5,10131,101151,4,1,4.5
10117,Sullivan Timothy,10/7/1982,39,M,5,10131,106841,2,2,4.2
10183,Von Massenbach Anna,4/6/1985,36,F,5,10131,107964,1,0,3.73
10221,Tavares Desiree,4/3/1975,46,F,6,10272,117697,3,4,4.24
10268,Thibaud Kenneth,9/16/1975,46,M,6,10272,110462,5,6,3.97
10072,Whittier Scott,5/24/1987,34,M,6,10272,105579,1,4,3.97
10071,Sewkumar Nori,3/10/1975,46,F,4,10010,104900,2,4,3.9
10215,Ndzi Colombui,5/2/1989,32,M,4,10010,110371,1,3,4.5
10078,Oliver Brooke,2/11/1952,69,F,5,10131,116844,5,3,4.6
10286,Smith Martin,3/17/1988,33,M,5,10131,109003,2,9,4.3
